Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang,EventToastID,PlayerConditionID,UiTextureAtlasMemberID,UiTextureKitID,EventType,DisplayType,EventAsset,Field_9_1_0_38312_011,IconFileID,UiWidgetSetID,ExtraUiWidgetSetID,TitleTooltipUiWidgetSetID,SubtitleTooltipUiWidgetSetID,ShowSoundKitID,HideSoundKitID
Stufe %d,Erreicht:,,,,,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,Dungeon freigeschaltet!,,,,,2,92737,12015,0,2,3,0,0,0,0,0,0,0,0,0
,Neue Fähigkeit freigeschaltet!,,,,,3,92737,12014,0,1,3,0,0,0,0,0,0,0,0,0
,Schlachtzug freigeschaltet!,,,,,4,92737,12015,0,3,3,0,0,0,0,0,0,0,0,0
,Neue Phase,,,,,5,0,0,0,14,6,0,0,0,0,0,0,0,0,0
,,,,,,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0
,Stufenaufstieg,,,,,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0
,Neue Fähigkeit verfügbar!,,,,,9,0,0,0,9,3,0,0,0,0,0,0,0,0,0
Ihr habt gefangen:,,,,,,10,0,0,0,7,5,0,0,0,0,0,0,0,0,0
%s%s,,,,,,11,0,0,0,10,1,0,0,0,0,0,0,0,0,0
Bereichsplündern,Feature freigeschaltet!,"Eine Leiche zu plündern, plündert jetzt auch alle Leichen in der Nähe.",Bereichsbeute freigeschaltet,,,12,90425,12015,0,15,3,0,0,1022948,0,0,0,0,183581,0
Skoldushalle,Stock %19812w,,,,,14,79354,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Die Gewundenen Korridore,Stock %19812w,,,,,15,79355,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Frakturkammern,Stock %19812w,,,,,16,79363,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Die Seelenschmieden,Stock %19812w,,,,,17,79365,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Kaltherzinterstitia,Stock %19812w,,,,,18,79368,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Mort'regar,Stock %19812w,,,,,19,79366,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Dungeonbrowser,Feature freigeschaltet!,,Neues Feature freigeschaltet: |cffFF4E00|Hlfd:|h[Dungeonbrowser]|h|r,,,20,90424,12015,0,15,3,0,0,397907,0,0,0,0,0,0
Schlachtfelder,Feature freigeschaltet!,,Neues Feature freigeschaltet: |cffFF4E00|Hpvpbgs:|h[Schlachtfelder]|h|r,,,21,90427,12015,0,15,3,0,0,132147,0,0,0,0,0,0
Spezialisierung,Feature freigeschaltet!,,Neues Feature freigeschaltet: |cffFF4E00|Hspecpane:|h[Spezialisierungen]|h|r,,,22,90428,12015,0,15,3,0,0,132222,0,0,0,0,0,0
Talente,Feature freigeschaltet!,,Neues Feature freigeschaltet: |cffFF4E00|Htalentpane:|h[Talente]|h|r,,,23,90429,12015,0,15,3,0,0,132222,0,0,0,0,0,0
PvP-Talente,Feature freigeschaltet!,,Neues Feature freigeschaltet: |cffFF4E00|Htalentpanet:|h[PvP-Talente]|h|r verfügbar!,,,24,90430,12015,0,15,3,0,0,132147,0,0,0,0,0,0
Reittierausrüstung,Feature freigeschaltet!,,Neues Feature freigeschaltet: |cffFF4E00|Hmountequipment:|h[Reittierausrüstung]|h|r verfügbar!,,,25,90431,12015,0,15,3,0,0,1534178,0,0,0,0,0,0
Weltquests,Feature freigeschaltet!,"Öffnet Eure Weltkarte, um Weltquests zu verfolgen.","Neues Feature freigeschaltet: |cffFF4E00|Hworldquest:|h[Weltquests]|h|r
Zum Verfolgen Weltkarte öffnen.",,,26,0,12015,0,12,3,43341,0,1064187,0,0,0,0,0,0
Die Oberen Ebenen,Stock %19812w,,,,,27,79372,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Arkobanhalle,Stock %19812w,,,,,28,90416,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Folterkammer: Jaina,Stock %19812w,,,,,29,90417,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Folterkammer: Thrall,Stock %19812w,,,,,30,90418,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Folterkammer: Anduin,Stock %19812w,,,,,31,90420,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Adamantgewölbe,Stock %19812w,,,,,32,0,0,5281,17,6,358253,0,0,0,0,0,0,0,0
Feurige Katakomben,Stock %19812w,,,,,33,90422,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Ossuarium der Verbannten,Stock %19812w,,,,,34,90423,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Abgeschlossen,|cFFFFFFFFFinaler Punktestand: %1921c|r|n|cFF1eff00Turmwissen verdient: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,37,0,0,5388,17,8,354027,0,0,511,503,0,0,183157,183155
Aufsitzen im Schlund,Freigeschaltet,,,,,39,0,12015,0,12,3,63994,0,853211,0,0,0,0,183581,0
Stock 1 abgeschlossen,,,,,,40,90752,0,5388,16,6,354067,0,0,509,0,0,0,0,0
Unvollständig,|cFFFFFFFFFinaler Punktestand: %1921c|r|n|cFF1eff00Turmwissen verdient: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,42,34450,0,5388,17,8,356246,0,0,511,521,0,0,0,0
Adamantgewölbe abgeschlossen,|cFF1eff00Bonusturmwissen verdient: %1946c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,43,34450,0,5388,17,6,356432,0,0,0,0,0,0,0,0
Abgeschlossen,|cFFFFFFFFFinaler Punktestand: %1921c|r|n|cFF1eff00Turmwissen verdient: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r|nMaximum für Turmwissen erreicht,,,,,44,34450,0,5388,17,8,356596,0,0,511,503,0,517,0,0
Unvollständig,|cFFFFFFFFFinaler Punktestand: %1921c|r|n|cFF1eff00Turmwissen verdient: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r|nMaximum für Turmwissen erreicht,,,,,45,34450,0,5388,17,8,356597,0,0,511,521,0,517,0,0
Stock 2 abgeschlossen,,,,,,47,90752,0,5388,16,6,357992,0,0,518,0,0,0,0,0
Stock 3 abgeschlossen,,,,,,48,90752,0,5388,16,6,357993,0,0,519,0,0,0,0,0
Stock 4 abgeschlossen,,,,,,49,90752,0,5388,16,6,357994,0,0,520,0,0,0,0,0
Makellos!,|cFFFFFFFFFinaler Punktestand: %1921c|r|n|cFF1eff00Turmwissen verdient: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r,,,,,50,0,0,5388,17,8,358449,0,0,511,503,0,0,183157,183155
,Schlachtfeld freigeschaltet!,,,,,51,92737,12015,0,4,3,0,0,0,0,0,0,0,0,0
Makellos,|cFFFFFFFFFinaler Punktestand: %1921c|r|n|cFF1eff00Turmwissen verdient: %1922c |TInterface\ICONS\Spell_Broker_Orb.BLP:16:16|t|r|nMaximum für Turmwissen erreicht,,,,,52,34450,0,5388,17,8,358450,0,0,511,503,0,517,0,0
Kämpfer I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,60,0,12015,0,20,7,2,0,2023045,0,0,0,0,0,0
Wissenseintrag freigeschaltet,Wissenskonsole,,Eintrag in der Wissenskonsole freigeschaltet,,,61,0,10757,0,13,3,0,0,4238930,0,0,0,0,0,0
Kämpfer II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,63,0,12015,0,20,7,206,0,2023045,0,0,0,0,0,0
Herausforderer I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,64,0,12015,0,20,7,3,0,2023047,0,0,0,0,0,0
Herausforderer II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,65,0,12015,0,20,7,207,0,2023047,0,0,0,0,0,0
Rivale I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,66,0,12015,0,20,7,4,0,2023049,0,0,0,0,0,0
Rivale II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,67,0,12015,0,20,7,208,0,2023049,0,0,0,0,0,0
Duellant,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,68,0,12015,0,20,7,5,0,2023051,0,0,0,0,0,0
Elite,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,69,0,12015,0,20,7,6,0,2023053,0,0,0,0,0,0
Kämpfer I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,70,0,12015,0,20,7,9,0,2023045,0,0,0,0,0,0
Kämpfer II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,71,0,12015,0,20,7,209,0,2023045,0,0,0,0,0,0
Herausforderer I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,72,0,12015,0,20,7,11,0,2023047,0,0,0,0,0,0
Herausforderer II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,73,0,12015,0,20,7,210,0,2023047,0,0,0,0,0,0
Rivale I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,74,0,12015,0,20,7,12,0,2023049,0,0,0,0,0,0
Rivale II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,75,0,12015,0,20,7,211,0,2023049,0,0,0,0,0,0
Duellant,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,76,0,12015,0,20,7,13,0,2023051,0,0,0,0,0,0
Elite,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,77,0,12015,0,20,7,14,0,2023053,0,0,0,0,0,0
Kämpfer I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,78,0,12015,0,20,7,17,0,2023045,0,0,0,0,0,0
Kämpfer II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,79,0,12015,0,20,7,212,0,2023045,0,0,0,0,0,0
Herausforderer I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,80,0,12015,0,20,7,18,0,2023047,0,0,0,0,0,0
Herausforderer II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,81,0,12015,0,20,7,213,0,2023047,0,0,0,0,0,0
Rivale I,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,82,0,12015,0,20,7,19,0,2023049,0,0,0,0,0,0
Rivale II,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,83,0,12015,0,20,7,214,0,2023049,0,0,0,0,0,0
Duellant,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,84,0,12015,0,20,7,20,0,2023051,0,0,0,0,0,0
Elite,Aufwertungen für PvP-Ausrüstung freigeschaltet!,,,,,85,0,12015,0,20,7,21,0,2023053,0,0,0,0,0,0
Spießrutenlauf des Kerkermeisters,Stock %19812w,|n+Phantasma|n+Segen des Seelenrückstands,,,,87,95418,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Runde gewonnen,Siege: %55859yc,,,,,89,104070,0,5116,16,6,392795,0,0,0,0,0,0,0,0
Runde verloren,Siege: %55859yc,,,,,90,104070,0,5116,16,6,392796,0,0,0,0,0,0,0,0
Kernlose Wächterumwandlung,Verständnis des Bassonischen,,,"Gewährt Pocopoc die Fähigkeit, kernlose Wächter in Resonanzwächter umzuwandeln.",,101,0,12015,0,18,3,0,0,4239320,0,0,0,0,0,0
Verbesserte Pocopocaufwertungen,Verständnis des Violonischen freigeschaltet,,,,,102,0,12015,0,18,3,0,0,4239319,577,0,0,0,0,0
Runde gewonnen,Siege: %55859yc,,,,,104,104069,0,5117,16,6,392795,0,0,0,0,0,0,0,0
Runde verloren,Siege: %55859yc,,,,,105,104069,0,5117,16,6,392796,0,0,0,0,0,0,0,0
Spießrutenlauf des Kerkermeisters,Stock %19812w,,,,,106,95419,0,5281,17,6,354094,0,0,0,0,0,0,0,0
Rennen abgeschlossen - Bronze,"|cFFFFFFFFRennzeit: %2016c,%2017c%2124c%2125c Sekunden|r|n|nSilberzeit: %2019c,%2037c00 Sekunden|nGoldzeit: %2020c,%2038c00 Sekunden|n|nPersönliche Bestzeit: %2040c,%2041c%2131c%2132c Sekunden|n|n",,,,,117,0,0,5474,17,6,369996,0,0,0,0,0,0,0,0
Rennen abgeschlossen - Silber,"|cFFFFFFFFRennzeit: %2016c,%2017c%2124c%2125c Sekunden|r|n|nGoldzeit: %2020c,%2038c00 Sekunden|n|nPersönliche Bestzeit: %2040c,%2041c%2131c%2132c Sekunden|n|n",,,,,121,0,0,5474,17,6,370253,0,0,0,0,0,0,0,0
