ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
Completa 30 misiones,Completa misiones que otorguen experiencia.,3,135693,200,0,0
Derrota a 50 jefes de calabozo,Derrota jefes de calabozo que otorguen experiencia.,4,135695,200,0,0
"Del 16/12 al 2/1 (Festival de Invierno), obtén un sombrero festivo de alta costura",,5,135697,150,0,0
Completa 5 calabozos míticos+,,6,135699,200,0,7
Completa 15 misiones de mundo,,7,136176,150,0,0
Derrota a 10 jefes de banda de Dragonflight,,8,136202,200,0,0
Obtén 7500 p. de honor,,10,136220,200,0,0
Gana 5 campos de batalla,,11,136222,200,0,0
Gana 10 encuentros de arena que no sean refriegas,,12,136224,200,0,0
Completa pedidos de fabricación,Habla con un secretario de pedidos de fabricación en el Mercado de los artesanos en Valdrakken.,13,136242,200,0,0
Gana 15 duelos de mascotas,,14,136244,200,0,0
Derrota a jefes de calabozo en un grupo interfacciones,Derrota jefes de calabozo que otorgan experiencia mientras estás en un grupo con múltiples facciones.,16,136248,150,0,0
Completa 15 misiones en Rasganorte,,17,136250,200,0,0
Completa 5 calabozos de cronoviaje de Wrath of the Lich King,,18,136265,300,0,0
Completa Ciudadela de la Corona de Hielo,,19,136286,100,0,0
Completa 5 campos de batalla del Valle de Alterac,,20,136288,200,0,0
"Del 16/12 al 2/1 (Festival de Invierno), usa al menos un pequeño ayudante para derrotar a todos los maestros domadores de Rasganorte",,21,136291,250,0,0
Pesca 50 peces en Rasganorte,,22,136300,200,0,0
Hazle saber a Ragnaros que tienes /frio en el Núcleo de Magma,,23,136323,50,0,0
"Del 16/12 al 2/1 (Festival de Invierno), baila en el árbol del Gran Padre Invierno con un atuendo navideño junto a 5 jugadores",,24,136325,150,0,0
Mata 100 elementales de hielo,,25,136327,100,0,0
Completa Objetivo: tortuga en la Feria de la Luna Negra,,26,136357,50,0,0
Festival de Invierno: Mata jefes de banda de las festividades,"Del 16/12 al 2/1, mata a los siguientes jefes de banda.",27,136359,350,0,0
"Del 7/12 al 8/12, asiste al Festival del Errante",,28,136364,150,0,0
"Del 7/12 al 8/12 (Festival del Errante), lanza un farol y lee ""Esperando a la tortuga""",,29,136366,150,0,0
Súbete al carrusel o a la montaña rusa de la Feria de la Luna Negra y come una salchicha empanada,,30,136369,100,0,0
Mata al líder de la facción contraria,,31,136449,400,0,0
Explora una zona nevada,,32,136527,100,0,0
"Del 16/12 al 2/1 (Festival de Invierno), usa Frescura de Ira Helada u obtén su aura ""Helado"" bajo el árbol",,34,136855,150,0,0
Completa 15 misiones en Draenor,,36,137522,150,0,0
Cronoviaje: Completa 5 calabozos de cronoviaje de Warlords of Draenor,"Del 4/7 al 11/7, completa calabozos de cronoviaje de Warlords of Draenor.",37,137530,100,0,-11
Completa Ciudadela del Fuego Infernal,,38,137539,150,0,0
Mata a 15 jugadores en la Jungla Tanaan,,39,137541,200,0,0
Derrota maestros domadores de las Islas Dragón con mascotas dragonantes,Derrota a 2 maestros domadores de las Islas Dragón con al menos 2 mascotas dragonantes en tu equipo.,40,137543,200,0,0
Pesca en Draenor,,41,137567,100,0,0
Usa golosinas de mascota feliz,Compra golosinas de mascota feliz a Breanni en la Sala de fieras mágicas en Dalaran.,42,137615,100,0,0
Amor en el aire: usa el juguete piedra de hogar encantadora de Pies Rápidos en las Islas Dragón,"Del 6/2 al 20/2, usa el juguete piedra de hogar encantadora de Pies Rápidos en las Islas Dragón.",43,137617,150,0,0
Amor en el aire: usa el juguete cesta de merienda romántica en las Llanuras de Ohn'ahra,"Del 6/2 al 20/2, usa el juguete cesta de merienda romántica en las Llanuras de Ohn'ahra.",44,137619,150,0,0
Amor en el aire: completa “Bombardeo de bombones”,"Del 6/2 al 20/2, completa la misión Bombardeo de bombones.",45,137621,150,0,0
Amor en el aire: derrota al boticario Hummel,"Del 6/2 al 20/2, derrota al boticario Hummel en el Castillo de Colmillo Oscuro.",46,137623,150,0,0
Amor en el aire: regala una pulsera de talismanes preciosos,"Del 6/2 al 20/2, regálale una pulsera de talismanes preciosos a uno de tus líderes de facción.",47,137625,150,0,0
/abraza a un jugador muerto,Usa la emoción /abrazo con un jugador muerto.,48,137634,50,0,0
Resucita jugadores,,49,137636,50,0,0
Usa el veneno de acción lenta de Zanzil,Usa el veneno de acción lenta de Zanzil que se puede obtener de Gerald Negro en Ventormenta o Alfeo Caín en Orgrimmar.,50,137645,50,0,0
Consigue oro de la Casa de subastas,,52,137647,100,0,0
"Come un pedazo de pastel de chocolate, un pedazo de pastel precioso y un pedazo de tarta de bayas","Come un pedazo de pastel de chocolate, un pedazo de pastel precioso y un pedazo de tarta de bayas que se pueden obtener de Aimee en Vieja Dalaran.",53,137651,50,0,0
Nacimiento de los hipogrifos: Pedestal de cría Plumavieja,El 23/2 incuba un huevo de Plumavieja y haz que una cría se pose sobre tu hombro.,54,137655,150,0,0
Nacimiento de los hipogrifos: usa una pluma espectral,EL 23/2 despoja una pluma espectral de Lorthalium y úsala.,55,137657,150,0,0
Feria de la Luna Negra: prepara una tarta de bayas grande,"Del 5/2 al 11/2, prepara una tarta de bayas grande en la Isla de la Feria de la Luna Negra.",56,137659,50,0,0
Desafío de estilos: obtén 100 fichas de Desafío de estilos,"Desde el 01/8 hasta el 07/8, participa del Desafío de estilos para obtener fichas de Desafío de estilos.",61,137688,100,266,0
Pesca en las Islas Quebradas,,63,137731,100,0,0
Obtén un juguete que te haga “ver sensacional”,,64,137776,50,0,0
Desafío de estilos: usa la emoción /animar con los jugadores,"Del 20/3 al 24/3, usa la emoción /animar con los jugadores mientras participas en el Desafío de estilos.",65,137787,50,0,0
"Desafío de estilos: usa el foco, la pista de baile y las llamas del Desafío de estilos","Del 20/3 al 24/3, usa el foco, la pista de baile y las llamas del Desafío de estilos mientras participas en el Desafío de estilos.",66,137789,100,0,0
Desafío de estilos: usa Carta de un admirador,"Del 20/3 al 24/3, usa Carta de un admirador mientras participas en el Desafío de estilos.",67,137793,50,0,0
Derrota a Kael'thas Caminante del Sol en el Bancal del Magister,,68,137795,150,0,0
Locura en Un'Goro: recoge dinomojo,"Del 17/3 al 19/3, recoge dinomojo en el Cráter de Un'Goro.",69,137797,150,0,0
Locura en Un'Goro: consigue la Adaptación Genial,"Del 17/3 al 19/3, usa dinomojo para aumentar tus efectos de Adaptación hasta que seas genial.",70,137799,150,0,0
Feria de la Luna Negra: completa La bala humana,"Del 5/3 al 11/3, completa la misión La bala humana en la Isla de la Feria de la Luna Negra.",71,137801,50,0,0
Usa el juguete gafas para corgi superlujosas,,72,137803,50,0,0
Cambia tu apariencia,Visita a una peluquería en una ciudad principal para cambiar tu apariencia.,73,137805,20,0,0
Desafío de estilos: Consigue la apariencia Bicornio de comerciante,"Del 20/3 al 24/3, consigue la apariencia de Bicornio de comerciante al participar en el Desafío de estilos.",74,137807,20,0,0
Muéstrale tu /fuerza a otro jugador mientras “te ves sensacional”,Muéstrale tu /fuerza a un jugador mientras estás bajo el efecto del juguete “te ves sensacional”.,75,137809,50,0,0
Haz gestos de /cortesía a jugadores de la facción contraria,Haz gestos de /cortesía a jugadores de la facción contraria.,76,137811,20,0,0
Utiliza /sobrecoger frente a un jugador que “se vea sensacional”,Utiliza la emoción /sobrecoger frente a un jugador con el efecto de un juguete “te ves sensacional”.,77,137813,50,0,0
Obtén reputación por todas las Islas Dragón,,79,137872,150,0,0
Completa 15 calabozos míticos+,,81,140979,200,0,5
Completa las grandes cacerías de los Centauros Maruuk,Completa las grandes cacerías de los Centauros Maruuk en las Islas Dragón.,82,140981,150,0,0
Aterriza un añoñador con un amigo,Usa un arpón para aterrizar un añoñador junto a otro jugador en las Islas Dragón.,83,140983,50,0,0
Completa tareas durante el festín de la comunidad del Colmillarr de Iskaara,"Completa tareas durante los festines de la comunidad de Iskaara, en las Islas Dragón.",84,140985,50,0,0
Completa el Asedio del Fuerte Matadragones,Completa el Asedio del Fuerte Matadragones en las Costas del Despertar en las Islas Dragón.,85,140987,50,0,0
Usa el sistema de Juntos es mejor mientras escalas,Usa el sistema de Juntos es mejor durante misiones de mundo de alpinismo en las Islas Dragón.,86,140989,50,0,0
Derrota criaturas especiales en tormentas primigenias,"Durante las tormentas primalistas de las Islas Dragón, aparecerán criaturas especiales.",87,140991,100,0,0
Completa 4 circuitos de carrera de dracoequitación en las Islas Dragón,Habla con un cronometrador bronce en una ubicación de carreras en las Islas Dragón.,88,141010,250,265,0
Completa una misión de mundo JcJ en las Islas Dragón,,89,141012,100,0,0
Derrota un jefe de mundo de las Islas Dragón,,90,141021,100,0,0
Completa las tramas opcionales de las Costas del Despertar,,91,141032,200,0,0
Completa misiones de recolección semanales,Habla con un instructor de profesión en el Mercado de Artesanos en Valdrakken.,92,141044,100,0,0
Completa misiones de fabricación semanales,Habla con un instructor de profesión en el Mercado de Artesanos en Valdrakken.,93,141057,100,0,0
Despoja cofres de suministros de guerra en las Islas Dragón,,94,141095,100,0,0
Pesca objetos en las Islas Dragón,,95,141125,100,0,0
Demuéstrales tu /amor a los dragones Aspectos,Usa la emoción /amor con los dragones Aspectos en Valdrakken.,96,141883,50,0,0
Demuéstrales tu /amor a los dragones caídos,Usa la emoción /amor con 2 dragones caídos dentro de sus bandas.,97,141887,50,0,0
Obtén un juguete con temática primaveral,,98,141941,50,0,0
Jardín Noble: come chocolates del Jardín Noble en Iskaara,"Del 10/4 al 17/4, come chocolates del Jardín Noble en Iskaara, en las Islas Dragón.",99,141949,100,0,0
Jardín Noble: usa flores primaverales en una arena o campo de batalla,"Del 10/4 al 17/4, usa flores primaverales en un jugador enemigo en una arena o campo de batalla.",100,141951,50,0,0
Jardín Noble: recoge huevos de colores vivos,"Del 10/4 al 17/4, recoge huevos de colores vivos.",101,141953,100,0,0
Fotografía a pescadores legendarios,Fotografía a pescadores legendarios durante las misiones de mundo de catalogación en las Islas Dragón.,102,141960,50,0,0
Completa misiones de mundo de catalogación,Completa misiones de mundo de catalogación en las Islas Dragón.,103,141971,50,0,0
Obtén derrame elemental,Obtén el derrame elemental de criaturas afectadas por las tormentas primalistas de las Islas Dragón.,104,141979,100,0,0
Completa circuitos de dracoequitación en las Islas Dragón,Habla con un cronometrador bronce en las Islas Dragón.,105,141981,100,0,0
Jardín Noble: coloca huevos,"Del 10/4 al 17/4, coloca 12 huevos intrincadamente decorados o 1 huevo magníficamente decorado.",106,141983,50,0,0
Marcha de los renacuajos: completa Un obsequio de tu renacuajo,"El día 5/4, completa la misión Un obsequio de tu renacuajo.",107,141986,150,0,0
Completa las tramas opcionales de Llanuras de Ohn'ahra,,108,141988,150,0,0
Derrota jefes de grandes cacerías,Derrota jefes de grandes cacerías de los Centauros Maruuk en las Islas Dragón.,109,141997,100,0,0
Captura añoñadores con un arpón,Usa un arpón para capturar añoñadores en las Islas Dragón.,110,142034,50,0,0
Entrega llaves obsidiana,"Entrega llaves obsidiana a individuos de la Ciudadela Obsidiana, en las Islas Dragón.",111,142036,100,0,0
Cambia la apariencia de tu montura de dracoequitación,Visita un Estrado de transformación en las Islas Dragón.,112,142038,20,0,0
Obtén honor en los campos de entrenamiento de la Asamblea Cobalto en el Trecho Azur,,113,142733,100,0,0
Día del guardia voluntario: acaba con invasores de la ciudad,El 28/4 usa la emoción /saludo con un guardia de Ventormenta o Orgrimmar y elimina invasores de la ciudad.,114,142040,200,0,0
Feria de la Luna Negra: Completa Baile bajo la Luna Negra,"Del 2/4 al 8/4, completa la misión Baile bajo la Luna Negra en la Isla de la Feria de la Luna Negra.",115,142044,50,0,0
Feria de la Luna Negra: /anima mientras estás en el carrusel o en un tigre balancín,"Del 2/4 al 8/4, usa la emoción /animar mientras estás en el carrusel o en un tigre balancín de la Isla de la Feria de la Luna Negra.",116,142048,50,0,0
Usa la red de teletransporte de las Islas Dragón,Interactúa con un portal antiguo para utilizar la red de teletransporte en las Islas Dragón.,117,142050,100,0,0
Mata criaturas en la Cumbre de Termas de los Dragones,"Mata criaturas que otorgan experiencia en la Cumbre de Termas de los Dragones, al sureste de las Llanuras de Ohn'ahra.",118,142052,50,0,0
Completa la Prueba de la inundación,Completa la Prueba de la inundación en los Manantiales Ohn'iri de las Islas Dragón.,119,142054,50,0,0
Completa la trama del Spa Sueños Serenos,"Completa la trama del Spa Sueños Serenos en Thaldraszus, en las Islas Dragón.",120,142056,50,0,0
Derrota mascotas de élite de las Islas Dragón con mascotas dragonantes,Derrota a 2 mascotas de élite de las Islas Dragón con al menos 2 mascotas dragonantes en tu equipo.,121,142058,200,0,0
Pesca objetos mientras te “ves” sensacional.,Pesca objetos mientras llevas puestos los reductores de resplandor de ónice o el monóculo de artesano.,122,142063,50,0,0
"Fabrica objetos mientras te ""ves"" sensacional",Fabrica objetos mientras llevas puestos los reductores de resplandor de ónice o el monóculo de artesano.,123,142065,50,0,0
Completa las tramas opcionales de Trecho Azur,,124,142067,150,0,0
Obtén honor en el Fuerte Nokhudon,"Obtén honor en el Fuerte Nokhudon, en las Islas Dragón.",125,142046,100,0,0
Cambia la apariencia de tu compañero de la gran cacería,Habla con el instructor Frodrum en la ubicación de la Gran cacería en las Islas Dragón.,126,142080,20,0,0
Descubre los cúmulos de gemas ocultas de las Islas Dragón,Usa mapas de cúmulos de gemas en las Islas Dragón.,127,142082,50,0,0
Derrota a los maestros domadores de las Islas Dragón con mascotas mecánicas,Derrota a 2 maestros domadores de las Islas Dragón con al menos 2 mascotas mecánicas en tu equipo.,128,142725,200,0,0
Despoja un botín y un cofre de suministros de guerra en las Llanuras de Ohn'ahra,Despoja un botín de modo de guerra de un jugador caído y abre un cofre de suministros de guerra en las Llanuras de Ohn'ahra.,129,142087,150,0,0
Completa misiones de fabricación semanales,Puedes conseguir las misiones de profesión semanales en el Mercado de Artesanos de Valdrakken.,130,0,100,0,0
Completa misiones de recolección semanales,Puedes conseguir las misiones de profesión semanales en el Mercado de Artesanos de Valdrakken.,131,0,100,0,0
Completa carreras de dracoequitación en solitario,Habla con un cronometrador bronce en las Islas Dragón para participar en una carrera en solitario.,132,0,100,0,0
Completa el Asedio del Fuerte Matadragones,Completa la gesta Asedio del Fuerte Matadragones en las Costas del Despertar.,133,0,50,0,0
Completa misiones de mundo de alpinismo,Completa misiones de mundo de alpinismo en las Islas Dragón.,135,142099,100,0,0
Déjate golpear por tornados de una tormenta primalista,Déjate golpear por un tornado durante una tormenta de truenos primalista.,136,142112,50,0,0
Completa misiones de caravana aylaag,Completa misiones de la caravana aylaag en las Llanuras de Ohn'ahra en las Islas Dragón.,137,142114,100,0,0
Vuela a través de los vientos de las Islas con dracoequitación,Vuela a través de los Vientos de las Islas haciendo dracoequitación en las Islas Dragón.,138,142133,50,0,0
Pesca objetos en puntos de pesca colmillarr de Iskaara,,139,142135,50,0,0
Reúne fichas sangrientas en las Islas Dragón,Completa actividades de JcJ en las Islas Dragón.,140,142224,150,0,0
Jardín Noble: Completa misiones diarias,"Del 10/4 al 17/4, completa misiones diarias de Jardín Noble.",141,142243,100,0,0
Usa /rebote frente a las alimañas de las Islas Dragón,Usa /botar frente a las alimañas de las Islas Dragón.,142,142248,50,0,0
Toma sopa mientras “te ves sensacional”,Toma sopa de la olla común en Iskaara mientras estás bajo el efecto del juguete “te ves sensacional”.,143,142261,50,0,0
Demuéstrale tu /amor al Puesto de venta,Usa la emoción /amor con los comerciantes del puesto de venta y sus mercancías.,144,142268,50,0,0
Derrota a 25 jefes de banda,,145,142290,250,0,10
Aterriza un añoñador con amigos,Usa un arpón para aterrizar un añoñador junto a al menos 5 jugadores más en las Islas Dragón.,146,142297,50,0,0
Completa pedidos de fabricación públicos,Habla con un empleado de pedidos de fabricación en el Mercado de Artesanos de Valdrakken para acceder a los pedidos de fabricación.,147,142299,100,0,0
Completa pedidos de fabricación personales,Habla con un instructor de profesión en el Mercado de artesanos en Valdrakken.,148,142303,100,0,0
Jardín Noble: completa un calabozo de Dragonflight mientras llevas puesta una diadema primaveral,"Del 10/4 al 17/4, completa un calabozo de Dragonflight mientras llevas puesta una diadema primaveral.",149,142324,50,0,0
Derrota jefes de Furia de la Tormenta,Derrota jefes de Furia de la Tormenta en el Futuro Primalista de las Islas Dragón.,150,142527,100,0,0
Completa pedidos de fabricación públicos,Habla con un empleado de pedidos de fabricación en el Mercado de Artesanos de Valdrakken para acceder a los pedidos de fabricación.,152,142299,100,0,0
Abre puertas de las Bóvedas de Zskera,Usa llaves de las Bóvedas de Zskera para abrir puertas en las Bóvedas de Zskera.,154,143906,100,0,0
Completa las grandes cacerías de los Centauros Maruuk,Completa las grandes cacerías de los Centauros Maruuk en las Islas Dragón.,155,143919,150,0,0
"""¡Sí, chef!"" durante un Festín de la comunidad","Di ""¡Sí, chef!"" en un Festín de la comunidad de Iskaara, en las Islas Dragón.",156,143922,50,0,0
Completa misiones de mundo de carrera de dracoequitación,,157,144066,50,0,0
Completa misiones de mundo de la Expedición Dragontina,Completa las misiones de mundo de la Expedición Dragontina en las Islas Dragón.,158,143930,100,0,0
Derrota jefes de tormenta primigenia en el Confín Prohibido,Derrota a los jefes de tormenta primigenia del Confín Prohibido en las Islas Dragón.,159,143936,50,0,0
"Completa misiones de ""Chispas de vida""","Completa misiones de ""Chispas de vida"" en las Islas Dragón.",160,143949,100,0,0
Completa misiones semanales de las Bóvedas de Zskera,Completa misiones semanales de las Bóvedas de Zskera en el Confín prohibido en las Islas Dragón.,161,143955,75,0,0
Derrota domadores de mascotas de las Islas Dragón con mascotas dragonantes,Derrota a domadores de mascotas de las Islas Dragón con al menos 2 mascotas dragonantes en tu equipo.,162,143959,200,0,0
Usa el juguete Arenas movedizas en un calabozo de Warlords of Draenor,,163,143966,50,0,0
Semana de los Niños: Completa una misión,"Del 1/5 al 8/5, completa una misión de la Semana de los Niños.",164,143968,100,0,0
Semana de los Niños: completa misiones diarias junto con un huérfano,"Del 1/5 al 8/5, completa misiones diarias con un huérfano a tu lado.",165,143977,100,0,0
Semana de los Niños: Atrapa añoñadores con un arpón junto a un huérfano,"Del 1/5 al 8/5, usa un arpón para atrapar añoñadores junto a un huérfano.",166,143998,50,0,0
Semana de los Niños: Completa misiones,"Del 1/5 al 8/5, completa 4 misiones de la Semana de los Niños.",167,144000,150,0,0
Semana de los Niños: Usa /animar para Paera Brisagrácil junto a un huérfano,"Del 1/5 al 8/5, usa la emoción /animar para Paera Brisagrácil en Iskaara junto a un huérfano.",168,144011,50,0,0
Semana de los Niños: Completa calabozos míticos+ junto a un huérfano,"Del 1/5 al 8/5, completa calabozos mítico+ con un huérfano a tu lado.",169,144013,100,0,0
Festival de globos de primavera: Completa un paseo en globo aerostático,"Del 10/5 al 12/5, sube a un globo aerostático y disfruta del paseo completo.",170,144015,100,0,0
Festival de fluochampiñón: Contempla el ascenso y caída de Fshu,"El 27/5, ayuda a mantener con vida al gran Fshu el mayor tiempo posible en Esporaggar, en la Marisma de Zangar.",171,144017,150,0,0
Feria de la Luna Negra: Completa Comandante de tonque,"Del 7/5 al 13/5, completa la misión Comandante de tonque en la Isla de la Feria de la Luna Negra.",172,144021,50,0,0
Feria de la Luna Negra: Globo + Poni = Diversión,"Del 7/5 al 13/5, monta un poni de la Luna Negra mientras sujetas un globo en la Isla de la Feria de la Luna Negra.",173,144028,50,0,0
Pesca con pato chillón,Utiliza un cajón de corchos: juguete de pato chillón y luego pesca objetos en las Islas Dragón.,174,144039,50,0,0
Mata criaturas en representación del Filo Ardiente,Mata a criaturas que otorgan experiencia mientras estés bajo los efectos del juguete Estandarte de los Filo Ardiente en las Islas Dragón.,175,144041,50,0,0
Utiliza murgafas de juguete.,"Usa el juguete murgafas en Valdrakken, Iskarra, Maruukai y el Campamento Dragontino.",176,144043,100,0,0
Usa la emoción /bailar con las murgafas.,Usa la emoción /bailar con un jugador con el efecto de murgafas de las murgafas de juguete.,177,144048,50,0,0
