ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,IconFileID,SkillLine[0],SkillLine[1]
1,늑대,0.7,1,1,50,1,0,132203,208,270
2,살쾡이,0.7,1,1.1,50,3,0,132185,209,270
3,거미,0.4,1,0.6,50,1,0,132196,203,270
4,곰,0.6,1,1,50,63,1,132183,210,270
5,멧돼지,0.6,1,1,50,63,2,132184,211,270
6,악어,0.4,1,0.6,50,3,0,132187,212,270
7,독수리,0.5,1,0.9,50,3,0,132200,213,270
8,게,0.7,1,1.4,50,58,1,132186,214,270
9,고릴라,0.7,1,1,50,56,0,132189,215,270
11,랩터,0.5,1,0.8,50,1,2,132193,217,270
12,타조,0.5,1,0.8,50,60,0,132198,218,270
15,지옥사냥개,0.35,1,0.7,60,0,-1,0,189,0
16,공허방랑자,0.5,1,0.8,60,0,-1,0,204,0
17,서큐버스,0.5,1,1,60,0,-1,0,205,0
19,파멸수호병,0.64,1,1,60,0,-1,0,207,0
20,전갈,0.7,1,1,50,1,0,132195,236,270
21,거북,0.5,1,0.72,50,58,1,132199,251,270
23,임프,0.45,1,0.5,60,0,-1,0,188,0
24,박쥐,0.4,1,0.63,50,49,0,132182,653,270
25,하이에나,0.7,1,0.9,50,1,2,132190,654,270
26,맹금,0.5,1,0.8,50,3,2,132192,655,270
27,천둥매,0.5,1,0.7,50,14,0,132202,656,270
28,무선조종 장난감,0.9,1,1,60,0,-1,0,758,0
29,지옥수호병,0.45,1,0.9,60,0,-1,0,761,0
30,용매,0.35,1,0.65,50,35,1,132188,763,270
31,칼날발톱,0.45,1,0.65,50,1,0,132194,767,270
32,차원의 추적자,0.45,1,0.6,50,34,2,132201,766,270
33,포자박쥐,0.6,1,0.9,50,60,2,132197,765,270
34,가오리,0.35,1,0.55,50,17,0,132191,764,270
35,뱀,0.6,1,0.8,50,1,2,136040,768,270
37,나방,0.35,1,0.65,50,60,2,236193,775,270
38,키메라,0.5,1,0.63,50,1,0,236190,780,270
39,데빌사우루스,0.3,1,0.5,50,1,0,236192,781,270
40,구울,1,1,1.01,80,0,-1,132097,782,0
41,아퀴르,0.6,1,0.8,50,17,2,236195,783,270
42,벌레,0.7,1,1,50,28,1,236197,784,270
43,갈래발굽,0.35,1,0.56,50,60,0,1044794,786,270
44,말벌,0.4,1,0.6,50,60,0,236196,785,270
45,심장부 사냥개,0.3,1,0.5,50,1,0,236191,787,270
46,야수 정령,0.7,1,1.1,50,3,1,236165,788,270
49,물의 정령,0.8,1,0.81,60,0,-1,0,805,0
50,여우,0.6,1,0.9,50,35,2,458223,808,270
51,원숭이,0.3,1,0.5,50,48,2,877482,815,270
52,사냥개,0.6,1,0.8,50,63,2,877481,811,270
53,딱정벌레,0.5,1,0.7,50,48,1,133570,818,270
55,혈암야수,1,1,1.45,50,195,2,877478,817,270
56,좀비,0.8,1,1,80,0,-1,298667,236,0
57,<< QA 테스트용 >>,1,1,1.25,60,48,-1,134936,818,270
68,히드라,0.5,0,0.63,50,195,1,463493,824,270
100,지옥 임프,0.5,1,0.6,60,0,-1,0,188,0
101,공허군주,0.5,1,0.9,60,0,-1,0,204,0
102,쉬바라,0.45,1,0.65,60,0,-1,0,205,0
103,감시자,0.12,1,0.225,60,0,-1,0,189,0
104,격노수호병,0.45,1,0.85,60,0,-1,0,761,0
108,지옥불정령,0.25,1,0.3,60,0,-1,0,206,0
116,불의 정령,1,1,1.01,60,0,-1,135790,962,0
117,대지의 정령,1,1,1.01,60,0,-1,136024,963,0
125,물오리,0.2,1,0.7,50,138,1,877479,984,270
126,소금쟁이,0.3,1,0.5,50,48,2,643423,985,270
127,설치류,0.6,1,1,50,16,2,644001,983,270
128,돌 사냥개,0.7,1,1.1,50,195,1,625905,986,270
129,거친뿔,0.5,1,0.8,50,255,2,877477,987,270
130,바실리스크,0.4,1,0.6,50,3,2,877476,988,270
138,공포뿔,0.4,1,0.6,50,48,1,877480,1305,270
145,폭풍의 정령,1,1,1.01,60,0,-1,236154,1748,0
147,공포수호병,0.64,1,1,60,0,-1,0,1981,0
148,심연불정령,0.8,1,1,60,0,-1,0,1982,0
150,강물하마,0.6,1,0.8,50,56,1,1044490,1819,270
151,순록,0.5,1,0.8,50,60,1,1044501,1993,270
154,기계,0.7,1,1,60,256,2,132247,2189,270
155,누더기골렘,0.6,1,0.8,80,0,-1,136118,2216,0
156,비늘가죽,0.5,1,0.8,50,60,0,646378,2280,270
157,소,0.5,1,0.8,50,60,1,616693,2279,270
160,뾰족갈기,0.5,1,0.8,50,255,1,929300,2361,270
288,도마뱀,0.5,1,1,50,243,1,2027936,2703,270
290,테러닥스,0.2,1,0.3,50,227,2,1624590,2705,270
291,깡충이,0.3,1,0.6,50,243,1,804969,2706,270
292,갑각충,0.5,1,0.75,50,65,1,2011146,2707,270
296,피의 괴물,0.45,1,0.65,50,195,1,1687702,2719,270
298,낙타,0.5,1,0.8,50,56,2,454771,2807,270
299,군마,0.5,1,0.8,50,48,0,2143073,2806,270
300,매머드,0.5,1,0.8,50,60,1,132254,2805,270
302,인큐버스,0.5,1,1,60,0,-1,0,205,0
303,하급 용족,0.5,1,0.8,50,195,0,797547,2850,270
