ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,Альтеракская долина,Эпическое поле боя,,,3,20,80,25,10,40,1,5,1941,152,136324,0
2,Классическое ущелье Песни Войны,Захват флага,,,3,0,0,10,5,10,1,5,1942,0,136365,0
3,Классическая низина Арати,Доминирование,,,3,0,0,10,8,15,1,5,1943,0,136322,0
4,Nagrand Arena (old),,,,4,0,0,5,0,5,1,5,0,1,460867,5793
5,zzOldBlade's Edge Arena,,,,4,0,0,5,0,5,1,5,0,1,460861,0
6,Все арены,,,,4,20,80,5,0,5,1,3,0,8,525915,0
7,Око Бури,Доминирование,,,3,20,80,15,8,15,1,5,2851,24,525912,0
8,Руины Лордерона,,,,4,10,80,5,0,5,1,5,0,8,460869,0
9,Берег Древних,Осада,,,3,10,60,15,8,15,1,5,3695,1,460870,0
10,Стоки Даларана,,,,4,10,80,5,0,5,1,5,0,8,460862,0
11,Арена Доблести,,,,4,0,0,5,0,5,1,5,0,0,460868,0
30,Остров Завоеваний,Эпическое поле боя,,,3,20,80,25,10,40,1,5,4273,152,311222,0
32,Случайное поле боя,,,,3,10,80,25,5,10,1,5,0,0,525915,0
100,Рейтинговое поле боя,,,,3,50,80,10,5,10,1,10,0,2,0,0
101,Рейтинговое поле боя,,,,3,50,60,15,8,15,1,15,0,2,0,0
102,Рейтинговое поле боя,,,,3,50,80,6,4,6,1,6,0,2,0,0
108,Два Пика,Захват флага,,,3,30,80,10,5,10,1,5,5361,24,525913,0
120,Битва за Гилнеас,Доминирование,,,3,20,80,10,3,10,1,5,5360,24,460871,0
656,Око Бури (рейтинговое),,,,3,50,80,10,5,10,1,5,2851,10,0,0
699,Храм Котмогу,Сфера силы,,,3,40,80,10,2,10,1,5,6306,24,791651,0
706,CTF3,,,,3,0,0,10,5,10,1,5,6408,1,0,0
708,Сверкающие копи,Сопровождение,,,3,30,80,10,5,10,1,5,6436,24,791650,0
719,Арена Тол'вир,,,,4,10,80,5,0,5,1,5,0,8,791652,0
754,Каньон Суровых Ветров (наследие),Доминирование,,,3,40,70,10,8,15,1,5,7671,8,875925,0
757,Пик Тигра,,,,4,10,80,5,0,5,1,5,0,8,875926,0
789,Южнобережье против Мельницы Таррен,Потасовка,,,3,50,80,0,10,40,1,5,0,32,0,0
803,Small Battleground D,В разных местах,,,3,0,0,5,0,5,1,5,0,1,0,0
808,"Арена крепости
Черной Ладьи",,,,4,10,80,5,0,5,1,5,0,8,1389174,0
809,Арена Награнда,,,,4,10,80,5,0,5,1,5,0,8,460867,0
816,Последнее пристанище Пеплошкурой,,,,4,10,80,5,0,5,1,5,0,8,1389175,0
844,Арена Острогорья,,,,4,10,80,5,0,5,1,5,0,8,460861,0
846,Битва за Гилнеас (старая карта города),Потасовка,,,3,0,0,10,5,10,1,5,0,33,460871,0
847,Зима в низине Арати,Потасовка,,,3,50,80,10,8,15,1,5,0,32,136322,0
848,AI Test - Arathi Basin,,,,3,0,0,10,8,15,1,15,12812,1,0,0
849,Данк Суровых Ветров,Потасовка,,,3,50,80,10,8,15,1,5,0,32,875925,0
853,Разборка Шадо-Пан,Потасовка,,,3,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,Доминирование,,,3,0,0,10,5,10,1,5,0,1,875925,0
857,Битва за Черную гору,,,,3,0,0,0,2,2,1,2,0,33,136326,0
858,Храм Быстромогу,Потасовка,,,3,50,80,10,1,10,1,5,0,32,791651,0
859,Искажение гравитации,Потасовка,,,3,50,80,15,8,15,1,5,0,32,525912,0
860,Данк Суровых Ветров,Потасовка,,,3,50,80,10,8,15,1,5,0,32,875925,0
861,Драка Песни Войны,Потасовка,,,3,50,80,10,5,10,1,5,0,32,136365,0
862,Ок-бору,Потасовка,,,3,50,80,15,8,15,1,5,0,32,525912,0
866,Все арены,Потасовка,,,3,50,80,5,8,15,1,5,0,96,525915,0
868,Руины Лордерона,,,,3,50,80,5,0,15,1,5,0,96,460869,0
869,Стоки Даларана,,,,3,50,80,5,0,15,1,5,0,96,460862,0
870,Арена Тол'вир,,,,3,50,80,5,0,15,1,5,0,96,791652,0
871,Пик Тигра,,,,3,50,80,5,0,15,1,5,0,96,875926,0
872,"Арена крепости
Черной Ладьи",,,,3,50,80,5,0,15,1,5,0,96,1389174,0
873,Арена Награнда,,,,3,50,80,5,0,15,1,5,0,96,460867,0
874,Последнее пристанище Пеплошкурой,,,,3,50,80,5,0,15,1,5,0,96,1389175,0
875,Арена Острогорья,,,,3,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,3,0,0,10,5,10,1,10,0,1,0,0
879,Великолепная шестерка,Потасовка,,,3,50,80,6,5,6,1,6,0,32,0,0
880,Низина Арати,Потасовка,,,3,50,80,6,6,6,1,6,0,32,0,0
881,Каньон Суровых Ветров,Потасовка,,,3,50,80,6,6,6,1,6,0,32,0,0
882,Око шторма,Потасовка,,,3,50,80,6,6,6,1,6,0,32,0,0
883,Сверкающие копи,Потасовка,,,3,50,70,6,6,6,1,6,0,32,0,0
884,Храм Котмогу,Потасовка,,,3,50,70,6,6,6,1,6,0,32,0,0
885,Битва за Гилнеас,Потасовка,,,3,50,80,6,6,6,1,6,0,32,0,0
886,Ущелье Песни Войны,Потасовка,,,3,50,80,6,6,6,1,6,0,32,0,0
887,Миссия неприготовима,,,,3,50,80,10,5,10,1,5,0,32,875925,0
890,Бурлящий берег,Доминирование,,,3,0,0,10,8,15,1,5,0,1,875925,0
893,8.0 BG Temp,Доминирование,,,3,0,0,10,8,15,1,5,0,1,875925,0
894,Бурлящий берег,Битва за ресурсы,,,3,40,80,10,5,10,1,5,0,24,1864730,0
897,Большой Крюк,,,,4,10,80,5,0,5,1,5,0,8,0,0
901,Случайное эпическое поле боя,,,,3,20,80,0,5,40,1,5,0,0,0,0
903,Мугамбала,,,,4,10,80,5,0,5,1,5,0,8,0,0
904,Потасовка - все арены,,,,4,50,80,3,3,3,1,3,0,32,525915,0
1014,Ущелье Песни Войны,Захватить флаг,,,3,10,80,10,5,10,1,5,1942,24,136365,0
1017,Битва за озеро Ледяных Оков,Эпическое поле боя,,,3,20,80,25,10,40,1,5,0,152,136324,0
1018,Низина Арати,Доминирование,,,3,10,80,10,8,15,1,5,1943,24,136322,0
1019,Ботобойка в низине Арати,,,,3,0,0,15,1,15,1,15,0,0,0,0
1020,Ашран,Эпическое поле боя,,,3,20,80,35,10,35,1,5,0,152,1398842,0
1021,Классический Ашран,Поле бесконечной эпической битвы,,,3,20,80,25,10,25,1,5,1941,40,1398842,0
1022,Низина Арати,Потасовка,,,3,50,80,10,8,15,1,5,0,32,136322,0
1025,Рободром,,,,4,20,80,5,0,5,1,5,0,8,0,0
1029,Случайное поле боя,,,,3,10,60,25,5,40,1,5,0,1,525915,0
1030,Битва за озеро Ледяных Оков,Эпическое поле боя,,,3,50,80,25,10,40,1,5,0,32,136324,0
1031,Programmer Map - Battlefield,,,,3,0,0,0,1,20,0,0,0,0,0,0
1033,Месть Коррака,Временное событие,,,3,20,80,25,10,40,1,40,1941,32,136324,0
1036,Epic Battleground - Warfront Arathi (PvP),,,,3,0,0,40,10,40,1,5,0,1,0,0
1037,Каньон Суровых Ветров,Доминирование,,,3,40,80,10,8,15,1,5,0,24,875925,0
1039,Каньон Суровых Ветров,Доминирование,,,3,50,80,10,8,15,1,5,0,32,875925,0
1041,Небесный домен,,,,4,60,80,5,0,5,1,5,0,8,0,0
1047,Мугамбала,,,,4,50,80,5,0,15,1,5,0,32,0,0
1048,Рободром,,,,4,50,80,5,0,15,1,5,0,32,0,0
1049,Большой Крюк,,,,4,50,80,5,0,15,1,5,0,32,0,0
1050,Небесный домен,,,,4,50,80,5,0,15,1,5,0,32,0,0
1053,Мугамбала,,,,4,10,80,6,6,6,0,3,0,76,0,0
1054,Последнее пристанище Пеплошкурой,,,,4,10,80,6,6,6,0,3,0,76,1389175,0
1055,Арена Тол'вир,,,,4,10,80,6,6,6,0,3,0,76,791652,0
1056,Рободром,,,,4,10,80,6,6,6,0,3,0,76,0,0
1057,Пик Тигра,,,,4,10,80,6,6,6,0,3,0,76,875926,0
1058,Руины Лордерона,,,,4,10,80,6,6,6,0,3,0,76,460869,0
1059,Арена Награнда,,,,4,10,80,6,6,6,0,3,0,76,460867,0
1060,Большой Крюк,,,,4,10,80,6,6,6,0,3,0,76,0,0
1061,Небесный домен,,,,4,10,80,6,6,6,0,3,0,76,0,0
1062,Стоки Даларана,,,,4,10,80,6,6,6,0,3,0,76,460862,0
1063,Арена Острогорья,,,,4,10,80,6,6,6,0,3,0,76,460861,0
1064,Арена крепости Черной Ладьи,,,,4,10,80,6,6,6,0,3,0,76,1389174,0
1065,Все арены,,,,4,60,80,6,6,6,0,1,0,76,525915,0
1066,Колизей Малдраксуса,,,,4,20,80,5,0,5,1,5,0,8,3759934,0
1068,Арена Тайн,,,,4,60,60,5,0,5,1,5,0,9,0,0
1070,Руины Лордерона,,,,3,50,80,5,0,15,1,5,0,96,460869,0
1071,Колизей Малдраксуса,,,,4,10,80,6,6,6,0,3,0,76,3759934,0
1075,Взрывы Суровых Ветров,Потасовка,,,3,50,80,10,8,15,1,5,0,32,875925,0
1076,Горнило Тайн,,,,4,60,80,5,0,5,1,5,0,8,525915,0
1077,Горнило Тайн,,,,4,60,80,0,0,6,0,1,0,76,0,0
1088,Арена испытаний Нокхудона,,,,4,61,80,5,0,5,1,5,0,8,0,0
1092,Арена испытаний Нокхудона,,,,4,61,80,6,6,6,1,3,0,76,0,0
1094,Все арены,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1095,Все арены,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1096,Все арены,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1101,Блиц по полям боя,,,,3,60,80,8,6,8,1,2,0,776,136324,0
1102,Ущелье Песни Войны,Потасовка,,,3,60,80,8,6,8,1,2,0,520,136365,0
1103,Два Пика,Потасовка,,,3,60,80,8,6,8,1,2,0,520,525913,0
1104,Битва за Гилнеас,Потасовка,,,3,60,80,8,6,8,1,2,0,520,460871,0
1105,Сверкающие копи,Потасовка,,,3,60,80,8,6,8,1,2,0,520,791650,0
1106,Храм Котмогу,Потасовка,,,3,60,80,8,6,8,1,2,0,520,791651,0
1107,Око Бури,Потасовка,,,3,60,80,8,6,8,1,2,0,520,460625,0
1108,Низина Арати,Потасовка,,,3,60,80,8,6,8,1,2,0,520,136322,0
1109,Каньон Суровых Ветров,Потасовка,,,3,60,80,8,6,8,1,2,0,520,875925,0
1110,Золотоносная падь,Сопровождение,,,3,19,80,10,5,10,1,5,0,24,6031736,0
1111,Пыл битвы,Потасовка,,,3,50,70,6,6,6,1,3,0,96,0,0
1112,Арена испытаний Нокхудона,,,,4,61,70,6,6,6,1,3,0,104,0,0
